date,summ,Квартира,s1,Харчування,s2,Транспорт,s3,Інтернет,s4,Мобільний звязок,s5,Одежа,s6,Медикаменти,s7,Покупка техніки,s8,Відпочинок і подорожі,s9,Подарунки и дні народження,s10,Інше,s11,Автомобіль,s12,Навчання,s13,Дохід,s14
23-июля-2014,,,,,,,,,,,,,,,,,,Pivo,"3,80",,,,,,,,,,
24-июля-2014,,Najomne,"440,00",Moja Samoska,"3,53",,,,,O2,"12,86",,,,,,,,,,,,,,,,,,
25-июля-2014,,,,Moja Samoska,"4,27",,,,,,,,,,,,,,,Oblecenie,"11,92",,,,,,,,
26-июля-2014,,,,,,,,,,,,,,,,,,"Benzin (20) + Ubahn (26,30) + Muzeum (20) + Billa Wein (7,54)","73,84","Baumax(21,30) + Cigarety(5,40)","26,7",,,,,,,,
27-июля-2014,,,,Lidl + Tesco,"84,59",,,,,,,,,,,,,,,vankúš,"2,00",,,,,,,,
28-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-июля-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-июля-2014,,,,Lidl,"8,54",,,,,,,,,,,,,,,,,,,,,,,,
Июль,,,"440,00",,"216,87",,"19,29",,"15,80",,"12,86",,"1,99",,"9,43",,"14,99",,"85,64",,"58,61",,"0,00",,"0,00",,,,
1-авг.-2014,,,,,,,,,,,,"шорти, штани","4,50",,,,,,,,,"шампунь, булки","4,60",,,,,,971
2-авг.-2014,,,,Aupark (Terno),"6,67",,,,,,,,,,,,,,,,,термоси,"11,00","свічки, масло, жидкость","37,35",,,,
3-авг.-2014,,,,Lidl,"9,03",,,,,,,,,,,,,,,,,,,,,,,,
4-авг.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-авг.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-авг.-2014,,,,Lidl,"14,00",,,,,,,,,,,,,,,,,,,,,,,,
7-авг.-2014,,,,Lidl,"0,69",,,,,,,,,,,,,,,,,,,,,,,,
8-авг.-2014,,,,,,,,UPC,"15,80",,,,,,,,,,,,,,,,,,,,
9-авг.-2014,,,,Carrefour,"9,80",,,,,,,,,,,,,,,,,Carrefour (stahovac na droty...),"8,00",,,,,,
10-авг.-2014,,,,"Billa, Tesco","7,34",,,,,,,Slapance Julia,"14,90",,,,,,,,,,,,,,,,
11-авг.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-авг.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-авг.-2014,,,,Tesco ,"8,00",,,,,,,,,Canesten gel,"5,24",,,,,Cokolada,"7,00",,,,,,,,
14-авг.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-авг.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-авг.-2014,,,,Samoska,"2,00",,,,,,,,,,,,,Mestiansky pivovar,"5,50",,,,,,,,,,
17-авг.-2014,,,,tesco,"16,54",,,,,,,,,,,Panvica,"20,99",,,kamion,"4,10",Kika,"1,09",,,,,,
18-авг.-2014,,,,obed,"5,1",,,,,O2,"47,90",,,,,,,,,,,,,,,,,,
19-авг.-2014,,,,Lidl,"13,47",,,,,,,,,,,,,,,,,,,,,,,,
20-авг.-2014,,,,Lidl,"2,04",,,,,,,,,,,,,,,,,,,,,,,,
21-авг.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-авг.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-авг.-2014,,Najomne,"440,00",Tesco,"16,62",Benzin,"19,31",,,,,,,,,,,,,Knihy,"2,97",,,,,,,,
24-авг.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-авг.-2014,,,,,,,,,,,,"Tricko, Košela","16,97",,,,,,,,,,,,,,,,
26-авг.-2014,,,,Lidl,"10,65",,,,,,,,,,,,,,,,,,,,,,,,
27-авг.-2014,,,,,,,,,,,,,,,,,,,,,,Notar,"3,20",,,,,,
28-авг.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-авг.-2014,,,,,,,,,,,,,,,,,,Tesco,"31,00",,,,,,,,,,
30-авг.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-авг.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Август,,,"440,00",,"121,95",,"19,31",,"15,80",,"47,90",,"36,37",,"5,24",,"20,99",,"36,50",,"14,07",,"27,89",,"37,35",,,,
1-сент.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971
2-сент.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-сент.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-сент.-2014,,,,Lidl,"11,38",,,,,,,,,,,,,,,,,,,,,,,,
5-сент.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-сент.-2014,,,,Lidl,"6,00",,,,,,,,,,,,,,,,,,,,,,,,
7-сент.-2014,,,,Kaviaren,"6,00",,,,,,,,,,,,,Limonada (URBAN),"6,00",,,,,,,,,,
8-сент.-2014,,,,,,,,,,,,,,,,,,,,,,"ustna voda, sampun","3,00",,,,,,
9-сент.-2014,,,,"billa, samoska","10,15",,,,,,,,,,,,,,,,,,,,,,,,
10-сент.-2014,,,,lidl,"4,00",,,UPC,"15,80",,,,,,,,,,,,,,,,,,,,
11-сент.-2014,,,,,,,,,,,,,,"No-spa, canesten gel","11,50",,,,,,,,,,,,,,
12-сент.-2014,,,,,,,,,,,,,,,,,,,,,,,,Poistovna,"36,21",,,,
13-сент.-2014,,,,tesco,"38,00",,,,,,,,,,,,,,,,,,,benzin,"19,40",,,,
14-сент.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-сент.-2014,,,,lidl,"3,00",,,,,,,,,,,,,,,bunda pre Myrona,"12,00",,,,,,,,
16-сент.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-сент.-2014,,,,obed,"5,10",,,,,,,,,,,,,,,,,Fotjak (servis),"17,56",,,,,,
18-сент.-2014,,,,lidl,"12,80",,,,,O2,"11,88",,,,,,,,,,,,,,,,,,
19-сент.-2014,,,,,,,,,,,,,,,,,,,,Merci,"5,00",,,,,,,,
20-сент.-2014,,,,,,,,,,,,,,,,,,u Zlateho Bazanta,"10,00",,,,,,,,,,
21-сент.-2014,,,,,,,,,,,,,,,,,,"Lidl, Tesco, Vienn","43,60",,,,,Benzin,"20,00",,,,
22-сент.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-сент.-2014,,Najomne,"440,00",,,,,,,,,,,canesten,"6,40",,,,,Deichmann+billa Okii,"13,57",,,,,,,,
24-сент.-2014,,,,Kaufland,"21,00",,,,,,,,,,,,,,,,,,,,,,,,
25-сент.-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-сент.-2014,,,,,,,,,,,,,,Corsodyl,"3,50",,,,,,,,,,,,,,
27-сент.-2014,,,,Lidl,"2,00",,,,,,,,,,,,,,,,,,,,,,,,
28-сент.-2014,,,,Lidl,"5,50",,,,,,,,,,,,,,,,,,,,,,,,
29-сент.-2014,,,,"Tesco, Lidl","26,79",,,,,,,Tricko,"1,98",,,,,,,"Rowachol, Bateria","11,46",,,,,,,,
